Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODIFIER_NO_OBSTACLES,,No Walls,Pas de murs,Sin Muros,Keine Wände,Nessun Muro,Sem Paredes,,Без стен,,,,,Inga Väggar,Geen Muren,,,No Walls,没有墙壁,沒有牆壁,벽 없음,,Semmi akadály,Fără pereți,,,ללא קירות,,,,
MODIFIER_NO_OBSTACLES_HINT,,All walls are removed,Le niveau ne contiendra pas de murs,Se eliminarán todos los muros,Alle Wände sind entfernt,Tutti i muri sono rimossi,Todas as paredes foram removidas,,Все стены убраны,,,,,Alla väggar tas bort,Alle muren worden verwijderd,,,すべての壁が削除されます,移除所有墙壁,移除所有牆壁,모든 벽을 없앱니다,,A pályán nem lesznek akadályok,Toți pereții sunt eliminați,,,לא יהיו קירות בשלב זה,,,,
MODIFIER_DISAPPEARING_ARROWS,,Disappearing Arrows,Flèches qui disparaissent,Flechas que Desaparecen,Verschwindende Pfeile,Frecce Scomparibili,Setas Desaparecendo,,Исчезающие стрелки,,,,,Försvinnande pilar,Verdwijnende Pijlen,,,Disappearing Arrows,箭头消失,箭頭消失,사라지는 화살표,,Félénk nyilak,Săgeți ce dispar,,,חצים נעלמים,,,,
MODIFIER_DISAPPEARING_ARROWS_HINT,,Arrows on the notes disappear before they reach you,Les flèches disparaissent des notes avant de vous atteindre,Las flechas de las notas desaparecerán antes de que lleguen a ti,"Die Pfeile an den Noten verschwinden, bevor sie dich erreichen",Le frecce sulle note scompaiono prima che ti raggiungano,As setas nas notas desaparecerão antes de chegarem em você,,Стрелки на кубах будут исчезать при приближении к вам,,,,,Pilarna på blocken försvinner innan de når dig,Pijlen op de notitie verdwijnen voordat ze bij je komen,,,キューブが到達する前に、キューブの矢印が消えます,方块上的箭头将在到达你面前时消失,音符上的箭頭會在接近你面前時消失,음표의 화살표는 플레이어에게 근접하기 전에 사라집니다,,"A kockákon lévő nyilak eltűnnek, mielőtt közel érnének hozzád",Săgețile de pe note dispar înainte de a ajunge la tine,,,החצים שעל הקוביות ייעלמו לפני שהם יגיעו אליכם,,,,
MODIFIER_FASTER_SONG,,Faster Song,Chanson plus rapide,Canción más Rápida,Schnellerer Song,Brano Più Veloce,Música Rápida,,Ускорение песни,,,,,Snabbar låt,Sneller liedje,,,Faster Song,歌曲加速,歌曲加速,스피드 모드,,Gyorsabb zene,Melodie mai rapidă,,,שיר מהיר יותר,,,,
MODIFIER_FASTER_SONG_HINT,,Song plays 20% faster,Le morceau joue 20% plus vite,La canción se reproducirá 20 % más rápido,Der Song wird 20 % schneller abgespielt,La canzone è più veloce del 20%,Música toca 20% mais rápido,,Песня играет на 20% быстрее,,,,,Låten spelar 20% snabbare,Nummer speelt 20% sneller,,,曲が20%スピードアップします。,歌曲加速20%,歌曲加快20%,곡을 20% 빨리 재생합니다,,A zene 20%-kal gyorsabb lesz,Melodia se redă cu 20% mai repede,,,שיר מתנגן 20% מהר יותר,,,,
MODIFIER_GHOST_NOTES,,Ghost Notes,Notes fantômes,Notas Fantasma,Geister Noten,Note Invisibili,Notas Fantasma,,Призрачные ноты,,,,,Spöknotes,Spook Noten,,,Ghost Notes,幽灵方块,幽靈音符,유령 음표,,Szellemkotta,Note fantomă,,,קוביות שקופות,,,,
MODIFIER_GHOST_NOTES_HINT,,Notes are invisible and arrows disappear before they reach you,Les notes sont invisibles et les flèches disparaissent avant de vous atteindre,Las notas son invisibles y las flechas desaparecerán antes de que lleguen a ti,"Die Noten sind unsichtbar, und die Pfeile verschwinden, bevor sie dich erreichen",Le note sono invisibili e le frecce scompaiono prima che ti raggiungano,As notas são invisíveis e as setas desaparecem antes que cheguem a você,,Кубы невидимы и стрелки на кубах будут исчезать при приближении к вам,,,,,Blocken är osynliga och pilarna försvinner innan de når dig,Notities zijn onzichtbaar en pijlen verdwijnen voordat ze u bereiken,,,キューブが見えなくなり、自分に到達する前に矢印も消えます,方块和箭头将在到达你面前时一起消失,音符會在接近你之前消失,플레이어에게 근접하기 전에 화살표가 사라지며 음표가 안 보입니다,,"A kockák láthatatlanok, a nyilak pedig eltűnnek, mielőtt elérnének téged",Notele sunt invizibile iar săgețile dispar înainte să ajungă la tine,,,הקוביות בלתי נראות והחצים נעלמים בלפני שהם מגיעים אליכם,,,,
MODIFIER_ONE_LIFE,,1 Life,1 vie,1 Vida,1 Leben,1 Vita,1 Vida,,1 жизнь,,,,,1 Liv,1 Leven,,,1 Life,不容失误,完美主義,생명 1개,,Hirtelen halál,1 viaţă,,,חיים 1,,,,
MODIFIER_ONE_LIFE_HINT,,Every mistake depletes all your energy,Chaque erreur vous fait perdre toute votre énergie,Cada error agotará toda tu energía,Jeder Fehler leert deine gesamte Energie.,Qualsiasi errore esaurisce tutta la tua energia,Qualquer erro esgota toda sua energia,,Совершение ошибок истощает всю вашу энергию,,,,,Varje misstag tar bort allt din energi,Elke fout verbruikt al uw energie,,,1回のミスで、ゲージが空となります,任何失误都会直接耗尽能量槽,每次失誤消耗你的能量,실수를 할 때마다 에너지가 모두 소진됩니다,,Minden hiba azonnal kimeríti az energiasávot,Orice greșeală îți epuizează toată energia,,,כל טעות תרוקן את כל האנרגיה שלהם,,,,
MODIFIER_NO_ARROWS,,No Arrows,Pas de flèches,Sin Flechas,Keine Pfeile,Senza Frecce,Sem Flechas,,Без стрелок,,,,,Inga pilar,Geen pijlen,,,No Arrows,没有箭头,無箭頭,화살표 없음,,Nyilak nélkül,Fără săgeți,,,בלי חיצים,,,,
MODIFIER_NO_ARROWS_HINT,,All the notes can be cut in any direction,Toutes les notes peuvent être tranchées dans n'importe quelle direction,Todas las notas se pueden cortar en cualquier dirección,Alle Noten können in beliebiger Richtung geschlagen werden,Tutte le note possono essere tagliate in qualsiasi direzione,Todas as notas podem ser cortadas em qualquer direção,,Все ноты могут быть разрезаны в любом направлении,,,,,Alla block kan skäras i alla riktningar,Alle notities kunnen in elke richting gesneden worden,,,全キューブの方向を無くし、好きな方向にカットできます,所有方块都能以任意方向切割,任何方向都可斬斷音符,모든 음표는 아무 방향으로나 벨 수 있습니다,,Az összes kocka bármilyen irányba vágható,,,,כל הקוביות יכולות להיחתך מכל זווית,,,,
MODIFIER_NO_BOMBS,,No Bombs,Pas de bombes,Sin Bombas,Keine Bomben,Nessuna Bomba,Sem Bombas,,Без бомб,,,,,Inga bomber,Geen bommen,,,No Bombs,没有炸弹,無炸彈,폭탄 없음,,Hatástalanítva,Fără bombe,,,בלי פצצות,,,,
MODIFIER_NO_BOMBS_HINT,,All the bombs are removed from the level,Le niveau ne contiendra pas de bombes,Todas las bombas serán eliminadas del nivel,Aus dem Level sind alle Bomben entfernt,Non ci saranno bombe nel livello.,Não haverá bombas no nível.,,На этом уровне не будет бомб,,,,,Det kommer inga bomber i nivån.,Er zullen geen bommen zijn in het level.,,,ステージの爆弾がすべて出現しなくなります,关卡中不会出现炸弹,移除關卡中所有炸彈,레벨의 모든 폭탄을 없앱니다,,A pályán nem lesznek bombák,,,,לא יהיו פצצות בשלב זה.,,,,
MODIFIER_PRO_MODE,,Pro Mode,Mode pro,Modo Profesional,Profi-Modus,Modalità Pro,Modo Pro,,Профессионал,,,,,Proffsläge,Pro Mode,,,Pro Mode,专家模式,專家模式,프로 모드,,Profi mód,Mod Profesionist,,,מצב גיימר,,,,
MODIFIER_PRO_MODE_HINT,,Hit boxes match the notes precisely,La zone de coupe correspond précisément aux limites de la note,Las cajas de impacto coinciden de manera precisa con las notas,Schlage Boxen und triff exakt die Noten,Le Hitbox corrispondono precisamente con le note,Caixas de acerto correspondem exatamente às notas,,Хитбокс точно соответствует кубам,,,,,Träff lådor matchar blocken exact,Raak bakject precies om de noten te raken,,,ヒットボックスは音符と正確にマッチします,方块判定箱将缩小至模型本身,音符判定縮小至音符模型本身,음표와 맞는 상자를 정확히 맞춥니다,,A hitboxok pontosan megegyeznek a kockával,,,,ההיט בוקס תואם את הקובייה בצורה מדויקת,,,,
MODIFIER_SLOWER_SONG,,Slower Song,Chanson plus lente,Canción más Lenta,Langsamerer Song,Brano Più Lento,Música Lenta,,Замедление песни,,,,,Långsam låt,Langzamer nummer,,,Slower Song,歌曲减速,歌曲減速,슬로우 모드,,Csigalassú,Melodie mai lentă,,,שיר איטי יותר,,,,
MODIFIER_SLOWER_SONG_HINT,,Song plays 15% slower,Le morceau joue 15% plus lentement,La canción se reproducirá 15 % más lento,Der Song wird 15 % langsamer abgespielt,La canzone è più lenta del 15%,Música toca 15% mais lento,,Песня играет на 15% медленнее,,,,,Låten spelar 15% långsammare,Nummer speelt 15% langzamer,,,曲が15%スピードダウンします。,歌曲减速15%播放,歌曲放慢15%,곡을 15% 느리게 재생합니다,,A zene 15%-kal lassabb lesz,,,,שיר מתנגן 15% לאט יותר,,,,
MODIFIER_STRICT_ANGLES,,Strict Angles,Angles stricts,Ángulos Estrictos,Genaue Winkel,Angoli Stretti,Ângulos Estritos,,Строгие углы,,,,,Stränga vinklar,Strikte Hoeken,,,Strict Angles,严判角度,嚴判角度,엄격한 각도,,Szigorú szögek,,,,זוויות קפדניות,,,,
MODIFIER_STRICT_ANGLES_HINT,,Tolerance between note arrow and cut direction for good note cut is reduced,Le seuil de tolérance de l'angle du coup par rapport à la direction de la flèche est réduit,Se reducirá la tolerancia entre la flecha de la nota y la dirección de corte para obtener un buen corte de nota,Die Toleranz zwischen Notenpfeil und Schlagrichtung für guten Notenschlag ist reduziert,La tolleranza tra la freccia della nota e la direzione di taglio per un taglio corretto è ridotta,Tolerância entre a seta da nota e a direção de corte para um bom corte de notas é reduzido,,Погрешность между стрелкой и направлением разреза для хорошего разреза нот сокращена,,,,,Tolerans mellan blockens pilriktning och skärvinkel reduceras,Tolerantie tussen noot pijl en snijd richting voor goede notitie is verminderd,,,キューブのカット評価（矢印と方向）判定が、厳しくなります,方块箭头与切割方向之间允许的误差将会减小,音符箭頭與切割方縣之前允許的誤差值將縮小,굿 컷을 위한 컷 방향과 음표 화살표 간 허용 오차가 줄어듭니다,,Csak az igazán pontos vágások lesznek megfelelőek,,,,זווית החיתוך של הקוביות הוא הרבה יותר מדויק,,,,
MODIFIER_SUPER_FAST_NOTES,,Super Fast Notes,Notes super rapides,Notas Súper Rápidas,Superschnelle Noten,Note Super Veloci,Notas Super Rápidas,,Супер быстрые ноты,,,,,Supersnabba notes,Super Snelle Noten,,,Super Fast Notes,超速方块,超高速音符,초고속 음표,,Szupergyors,Note super rapide,,,קוביות סופר מהירות,,,,
MODIFIER_SUPER_FAST_NOTES_HINT,,Notes move super fast,Les notes se déplacent super vite,Las notas se moverán súper rápido,Die Noten bewegen sich superschnell,Le note si muovono super velocemente,Notas se movem super rápido,,Ноты двигаются очень быстро,,,,,Blocken rör sig super snabbt,Noten bewegen super snel,,,キューブがとても速く動きます,方块移动的非常快,音符超高速移動,음표가 아주 빠르게 움직입니다,,A kockák szupergyorsan mozognak,Notele se mișcă foarte rapid,,,קוביות זזות מהר מאוד,,,,
MODIFIERS_TOTAL_MULTIPLIER,,Total Score,Score total,Puntuación total,Gesamtmultiplikator,Punteggio Totale,Pontuação Total,,Общий счет,,,,,Total antal pöang,Totale score,Łączny Wynik,,Total Score,总分倍率,總分加成,총 점수,,Összpontszám,Scor total,,,התוצאה הסופית,,,,
MODIFIERS_MAX_RANK_WITH_MODIFIERS,,Max Rank,Rang maximum,Rango máximo,Max. Rang,Rango Massimo,Classif Máx,,Макс. ранг,,,,,Max rank,Hoogste rang,Najwyższa Ranga,,Max Rank,最高评级,最高評價,최대 순위,,Max. rang,Rang maxim,,,הדרגה הגבוהה ביותר,,,,
STEAM_BOUGHT_CONTENT_INFO,,"If you bought this content, but don't see it here, please open Steam and check if it was properly downloaded.","Si vous avez acheté ce contenu mais ne le voyez pas ici, veuillez ouvrir Steam et vérifier qu'il a bien été téléchargé.","Si compraste este contenido, pero no lo ves aquí, abre Steam y revisa si se descargó apropiadamente.","Falls du diesen Inhalt gekauft hast, du ihn hier aber nicht siehst, öffne bitte Steam und schau nach, ob er korrekt heruntergeladen wurde.","Se hai acquistato questo contenuto, ma non lo vedi qui, per favore apri Steam e controlla se è stato scaricato correttamente.","Se você comprou este conteúdo mas não o vê aqui, por favor, abra o Steam e verifique se ele foi baixado corretamente.",,"Если вы купили этот контент, но не видите его здесь, откройте Steam и проверьте, правильно ли он был загружен.",,,,,"Om du köpte det här innehålet, och inte ser det här, vänligen öpnna Steam och kolla om innehålet är nedladdat.","Als je deze content hebt gekocht, maar niet hier ziet staan, open Steam en controleer of het goed gedownload is.",,,本コンテンツが購入済みにも関わらず表示されない場合は、Steamを開き正常にダウンロードされているか確認してください。,如果您购买了此内容，但在这里没有显示，那么请打开Steam并检查它是否已被下载。,如果您購買了此內容，但在這里沒有顯示，那麽請打開Steam並檢查它是否已被下載。,이 콘텐츠를 구매했으나 여기에서 볼 수 없다면 Steam을 열어 제대로 다운로드되었는지 확인해주십시오.,,"Ha megvásároltad ezt a tartalmat, de mégsem jelenik meg, nyisd meg a Steam-et és ellenőrizd, hogy megfelelően letöltötted-e.",,,,"אם קניתם את זה, אבל אתם לא רואים את זה כאן. בבקשה תפתחו את סטים ותבדקו שהורדת את זה נכון.",,,,
STATUS_DOWNLOADING,,Downloading,Téléchargement,Descargando,Download läuft,In Download,Baixando,,Скачивание,,,,,Laddar ner,Downloaden…,,,ダウンロード中,下载中,下載中,다운로드 중,,Letöltés,Se descarcă,,,מוריד,,,,
STATUS_ERROR_GETTING_DATA,,Error getting data.,Échec de l'acquisition des données.,Error al obtener los datos.,Fehler beim Abrufen der Daten.,Errore di ottenimento dati.,Erro ao carregar os dados.,,Ошибка получения данных.,,,,,Problem med att hämta data,Fout bij laden van de gegevens.,,,データ取得エラー,数据获取失败。,獲取資料失敗,데이터를 가져오는 데 오류가 발생했습니다.,,Hiba az adatok letöltésekor.,,,,שגיאה בהשגת הנתונים.,,,,
MENU_GRAPHICS,,Graphics,Graphismes,Gráficos,Grafik,Grafica,Gráficos,,Графика,,,,,Skärm,Beeld,,,グラフィック,图像,顯示設定,그래픽,,Grafika,Grafică,,,גרפיקה,,,,
MENU_ADVANCED_GRAPHICS,,Advanced Graphics,Graphismes avancés,Gráficos Avanzados,Erweiterte Grafik,Grafica Avanzata,Gráficos Avançados,,Расширенная графика,,,,,Avancerade Graphics,Geavanceerde Grafische Opties,,,高度なグラフィック,高级图像设置,進階顯示設定,고급 그래픽,,Haladó grafika,Grafică avansată,,,גרפיקה מתקדמת,,,,
MENU_ROOM_ADJUST,,Room Adjust,Ajustement de la pièce,"Ajuste de Área
",Raumanpassung,Regolazione Stanza,Ajuste de Sala,,Игровая зона,,,,,Rumanpassning,Ruimte aanpassen,,,ルーム,房间调整,房間調整,공간 조절,,Szobabeállítás,Ajustarea camerei,,,סידור אזור המשחק,,,,
MENU_SMOOTH_CAMERA,,Smooth Camera,Caméra lisse,Cámara Suave,Ruckelfreie Kamera,Telecamera Stabile,Câmera Suave,,Камера,,,,,Jämn Kamera,Vloeiende Camera,,,カメラ,平滑相机,平滑相機,부드러운 카메라,,Másodlagos kamera,Cameră fină,,,מצלמה חלקה,,,,
MENU_OTHERS,,Others,Autres,Otros,Weitere,Altro,Outros,,Другие,,,,,Övrig,Overige,,,その他,其它,其他,기타,,Egyéb,Altele,,,אחר,,,,
SETTINGS_MIRROR_QUALITY,,Mirror Quality,Qualité des miroirs,Calidad de Espejo,Spiegelqualität,Qualità Specchi,Qualidade do Espelho,,Качество зеркал,,,,,Spegelkvalitet,Weerspiegelings kwaliteit,,,モニター出力の画質,镜面质量,反射品質,거울 품질,,Tükröződés minősége,Calitatea oglinzii,,,איכות ההשתקפות,,,,
SETTINGS_SMOKE,,Smoke,Fumée,Humo,Rauch,Fumo,Fumaça,,Дым,,,,,Rök,Rook,,,煙効果,烟雾,煙霧,연기,,Füst,Fum,,,עשן,,,,
SETTINGS_BLOOM_FOG_QUALITY,,Bloom Fog Quality,Qualité du flou lumineux,Calidad de Niebla Fluorescente,Bloom-Nebelqualität,Qualità Nebbia Bloom,Qualidade da Névoa,,Качество свечения тумана,,,,,Bloom Rök Kvalitet,Bloom Fog Kwaliteit,,,ブルーム（発光）表現品質,雾中光晕质量,高光霧品質,블룸 안개 품질,,Elmosott köd minősége,,,,איכות עשן הBloom,,,,
SETTINGS_BLOOM_POST_PROCESS,,Bloom Post Process,Post-traitement flou lumineux,Proceso Posterior de Fluorescencia,Bloom-Nachbearbeitung,Post Process del Bloom,Pós-processamento da Névoa,,Свечение,,,,,Bloom Post Process,Bloom Post Process,,,ブルーム（発光）表現,光晕后期处理,高光後處裡,블룸 후처리,,Köd utófeldolgozásának minősége,,,,חישוב מוקדם של הBloom,,,,
SETTINGS_ROOM_X_OFFSET,,X Offset,Décalage X,Inclinación X,X-Versatz,X Offset,Deslocamento X,,Смещение по X,,,,,X-offset,X-verschuiving,,,Xオフセット,X轴偏移,X軸位移,X 오프셋,,X-eltolás,,,,היסט X,,,,
SETTINGS_ROOM_Y_OFFSET,,Y Offset,Décalage Y,Inclinación Y,Y-Versatz,Y Offset,Deslocamento Y,,Смещение по Y,,,,,Y-offset,Y-verschuiving,,,Yオフセット,Y轴偏移,Y軸位移,Y 오프셋,,Y-eltolás,,,,היסט Y,,,,
SETTINGS_ROOM_Z_OFFSET,,Z Offset,Décalage Z,Inclinación X,Z-Versatz,Z Offset,Deslocamento Z,,Смещение по Z,,,,,Z-offset,Z-verschuiving,,,Zオフセット,Z轴偏移,Z軸位移,Z 오프셋,,Z-eltolás,,,,היסט Z,,,,
SETTINGS_ROOM_ROTATION,,Rotation,Rotation,Rotación,Rotation,Rotazione,Rotação,,Вращение,,,,,Rotation,Rotatie,,,回転,旋转,旋轉,회전,,Forgatás,,,,הטיה,,,,
SETTINGS_NON_VR_RESOLUTION,,Non VR Resolution,Résolution non-RV,Resolución no de RV,Non VR-Auflösung,Risoluzione Non VR,Resolução Fora do VR,,Разрешение экрана ПК,,,,,Non-VR Resolution,Desktop resolutie,,,モニタ出力の解像度,桌面窗口分辨率,桌面視窗解析度,비 VR 해상도,,VR-nélküli ablak felbontása,Rezoluție non-VR,,,רזולוציית הלא VR,,,,
SETTINGS_FULLSCREEN,,Fullscreen,Plein écran,Pantalla completa,Vollbild,Schermo Intero,Tela Cheia,,Полный экран,,,,,Helskärm,Schermvullend,,,フルスクリーン,全屏,全螢幕,전체화면,,Teljes képernyő,Fullscreen,,,מסך מלא,,,,
SETTINGS_RENDERING_SCALE,,Rendering Scale,Échelle du rendu,Escala de Renderización,Render Skalierung,Scala di Rendering,Escala de Renderização,,Масштаб рендеринга,,,,,Renderingskala,Render schaal,,,レンダリングスケール,渲染倍数,渲染倍率,렌더링 스케일,,Képalkotási skála,Scala de randare,,,קנה-מידה של התצוגה,,,,
SETTINGS_ANTIALIASING_MSAA,,Antialiasing (MSAA),Anticrénelage (MSAA),Antialiasing (MSAA),Antialiasing (MSAA),Antialiasing (MSAA),Antisserrilhamento (MSAA),,Сглаживание (MSAA),,,,,Kantutjämning (FXAA),Antialiasing (MSAA),,,アンチエイリアシング（MSAA）,抗锯齿(MSAA),抗鋸齒 (MSAA),앤티앨리어싱,,Élsimítás (MSAA),Antialiasing (MSAA),,,אנטי איילסים,,,,
SETTINGS_VOLUME,,Volume,Volume,Volumen,Lautstärke,Volume,Volume,,Громкость,,,,,Volym,Volume,,,音量,音量,音量,볼륨,,Hangerő,,,,עוצמת קול,,,,
SETTINGS_PAUSE_PRESS_DURATION,,Pause Press Duration,Durée de l'appui du bouton pause,Duración de Presión para Pausar,Pausedrücken-Dauer,Durata Pressione Pausa,Duração de Toque para Pausa,,Длительность нажатия паузы,,,,,Pausknappsvaraktighet,Klikduur van de Pauzeknop,,,一時停止のボタン押下時間,暂停键触发时长,暫停鍵確認時長,정지 누르기 기간,,Szünet gomb lenyomásának hossza,,,,אורך זמן הלחיצה על כפתור עצירה,,,,
SETTINGS_SMOOTH_CAMERA,,Smooth Camera,Caméra lisse,Cámara Suave,Ruckelfreie Kamera,Telecamera Stabile,Câmera Suave,,Плавная камера,,,,,Jämn Kamera,Vloeiende Camera,,,スムーズカメラ,平滑相机,平滑相機,부드러운 카메라,,Másodlagos kamera,Cameră fină,,,מצלמה חלקה,,,,
SETTINGS_ONLINE_SERVICES,,Enable Online Services,Activer les services en ligne,Activar Servicios en Línea,Onlinedienste aktiveren,Attiva Servizi Online,Habilitar Serviços Online,,Включить онлайн сервисы,,,,,Aktivera Online Services,Online services inschakelen,,,オンラインサービス有効化,开启网络服务,開啟線上服務,온라인 서비스 사용,,Internetes szolgáltatások engedélyezése,,,,הפעל שירותים מקוונים,,,,
SETTINGS_SMOOTH_CAMERA_INFO,,"Enabling this feature will replace Beat Sabers desktop window with a smoothed, customised field of view, suitable for recording & streaming",Activer cette fonctionnalité remplacera la vue bureau de Beat Saber par une caméra lissée et avec un champ de vision personnalisé adapté à l'enregistrement et à la diffusion en direct,"Al activar esta función, se reemplazará la ventana de escritorio de Beat Sabers con un cambio de visión suave y personalizado, adecuado para grabar y transmitir","Durchs Aktivieren dieser Funktion wird das Desktopfenster von Beat Saber mit einem geglätteten, benutzerdefinierten Sichtfeld ersetzt, der für Aufnahmen und Streaming geeignet ist","Abilitando questa funzione la finestra desktop di Beat Sabers verrà sostituita con un campo visivo stabilizzato e personalizzato, adatto per la registrazione e lo streaming","Ativar esse recurso substituirá a janela do Beat Sabers na área de trabalho por um campo de visão suave e personalizado, adequado para gravação & transmissão",,"Включение этой функции заменит окно рабочего стола игры сглаженным, настраиваемым полем вида, подходящим для записи и потокового воспроизведения",,,,,"Aktivera den här funktionen ersätter Beat Sabers desktop flik met en jämn, anpassat field of view, som passar bra för inspelning och streaming.","Het inschakelen van deze functie zal het Beat Sabers desktop venster vervangen door een vloeiend en aangepast scherm, geschikt voor opnames & streamen",,,この機能を有効化するとBeat Saberデスクトップウィンドウを、録画やストリーミングに最適なスムーズでカスタマイズされた視野に置き換えます。,开启该功能将会使Beat Saber桌面窗口显示更加平滑，可以自定义视野大小，适合录制和直播,開啟該功能將會使Beat Saber桌面視窗顯示得更加平滑，可以自定義視野大小，適合錄影和直播,이 기능을 사용하면 Beat Sabers 데스크톱 윈도를 대신하여 녹화나 스트리밍에 적합한 부드러운 커스텀 FOV로 대체합니다.,,"Ennek a funkciónak az engedélyezése felváltja a Beat Saber asztali ablakát egy simább, testreszabott látómezővel, amely alkalmas a felvételre és közvetítésre",,,,"הפעלת ההגדרה הזאת תשנה את איך שביט סייבר נראה במסך המחשב שלך עם תזוזות יותר חלקות של המצלמה, אפשרות לשנות את זווית הריאה של הצופים, זה יותר מותאם להקלטות ולייב סטרימינג",,,,
SETTINGS_SMOOTH_CAMERA_WARNING,,Smooth camera is expensive and can cause bad performance on some hardware configurations. ,La caméra lisse nécessite une grande puissance de calcul et peut causer des ralentissements sur certaines configurations. ,La cámara suave es costosa y puede causar un mal rendimiento en algunas configuraciones de hardware. ,Ruckelfreie Kamera ist teuer und kann bei einigen Hardware-Konfigurationen zu einer schlechten Performance führen. ,La telecamera stabile è pesante e può causare pessime prestazioni su alcune configurazioni hardware. ,A Câmera Suave é pesada e pode causar mau desempenho em algumas configurações de hardware.,,Плавная потребляет много ресурсов компьютера и может привести к плохой производительности некоторых конфигураций оборудования. ,,,,,Jämn kamera är belastande och kan orsaka dålig prestanda på vissa datorkonfigurationer.,De vloeiende camera is zwaar en kan mogelijks slechte prestaties veroorzaken op sommige systemen.,,,スムーズカメラは処理に負担をかけるため、特定のハードウェア設定ではパフォーマンス低下の原因となることがあります。 ,平滑相机将会消耗更多性能并可能在一些硬件配置上导致更差性能表现。,平滑相機將會增加效能負荷並可能在一些硬件設備上導致更差的效能表現。,부드러운 카메라는 자원 소모가 크며 일부 하드웨어 구성에 부정적인 성능을 일으킬 수 있습니다.,,A másodlagos kamera egyes hardverkonfigurációkban rosszabb teljesítményt okozhat.,,,,מצלמה חלקה היא מאוד כבדה ויכולה לגרום למשחק לרוץ בצורה פחות טובה על מחשבים חלשים. ,,,,
SETTINGS_FIELD_OF_VIEW,,Field Of View,Champ de vision,Campo de Visión,Sichtfeld,Campo Visivo,Campo de Visão,,Угол обзора,,,,,Synfält,Gezichtsveld,,,視野,视野(FOV),視野大小 (FOV),FOV(시야각),,Látómező,Câmp vizual,,,גודל זווית הריאה,,,,
SETTINGS_SMOOTHNESS,,Smoothness,Lissage,Suavidad,Ruckelfreiheit,Smussamento,Suavidade,,Плавность,,,,,Jämnhet,Vloeiendheid,,,スムーズさ,平滑度,平滑度,부드러움,,Simaság,Finețe,,,חלקלקות,,,,
SETTINGS_ON,,On,Activé,Activar,An,On,Ligado,,Вкл,,,,,På,Aan,,,On,开启,開啟,켬,,Be,Activ,,,פעיל,,,,
SETTINGS_OFF,,Off,Désactivé,Desactivar,Aus,Off,Desligado,,Выкл,,,,,Avancerade Graphics,Uit,,,Off,关闭,關閉,끔,,Ki,Inactiv,,,כבוי,,,,
SETTINGS_LOW,,Low,Basse,Bajo,Niedrig,Basso,Baixo,,Низкий,,,,,Låg,Laag,,,低,低,低,낮음,,Alacsony,Slab,,,נמוך,,,,
SETTINGS_HIGH,,High,Élevée,Alto,Hoch,Alto,Alto,,Высокий,,,,,Hög,Hoog,,,高,高,高,높음,,Magas,Ridicat,,,גבוה,,,,
SETTINGS_INSTANT,,Instant,Instantanée,Instante,Sofort,Istantaneo,Instantâneo,,Мгновенно,,,,,Direkt,Onmiddellijk,,,短押し,立即,立即,즉시,,Azonnal,Instant,,,מידי,,,,
SETTINGS_LONG,,Long,Longue,Largo,Lang,Lunga,Longo,,Долго,,,,,Lång,Lang,,,長押し,长按,長按,길게,,Hosszú,Lung,,,ארוך,,,,
SETTINGS_JOYSTICK_SCROLLING,,Enable Joystick Scrolling,Activer le défilement par joystick,Activar desplazamiento con Joystick,Joystick-Scrollen aktivieren,Attiva Scorrimento con il Joystick,Habilitar rolagem de joystick,,Включить прокрутку джойстиком,,,,,Aktivera joystick scrolling,Scrollen met joystick inschakelen,,,ジョイスティックのスクロールを有効化,启用摇杆滚动,啟用搖桿滾動,조이스틱 스크롤링 사용,,Görgetés joystick-kel,Activează scrolling prin joystick,,,הפעל גלגול בעזרת הג'ויסטיק,,,,
DIFFICULTY_EASY,,Easy,Facile,Easy,Einfach,Facile,Fácil,,Легко,,,,,Enkelt,Gemakkelijk,,,Easy,简单,Easy,Easy,,Egyszerű,Ușor,,,קל,,,,
DIFFICULTY_EASY_SHORT,,E,F,E,E,F,F,,Л,,,,,E,E,,,E,易,E,E,,E,U,,,ק,,,,
DIFFICULTY_NORMAL,,Normal,Normal,Normal,Normal,Normale,Normal,,Нормально,,,,,Normal,Normaal,,,Normal,普通,Normal,Normal,,Közepes,Normal,,,רגיל,,,,
DIFFICULTY_NORMAL_SHORT,,N,N,N,N,N,N,,Н,,,,,N,N,,,N,中,N,N,,K,N,,,ר,,,,
DIFFICULTY_HARD,,Hard,Difficile,Hard,Hart,Difficile,Difícil,,Тяжело,,,,,Svår,Moeilijk,,,Hard,困难,Hard,Hard,,Nehéz,Greu,,,קשה,,,,
DIFFICULTY_HARD_SHORT,,H,D,H,H,D,H,,Т,,,,,S,H,,,H,难,H,H,,N,G,,,קש,,,,
DIFFICULTY_EXPERT,,Expert,Expert,Expert,Experte,Esperto,Perito,,Эксперт,,,,,Expert,Expert,,,Expert,专家,專家,Expert,,Profi,Expert,,,מומחה,,,,
DIFFICULTY_EXPERT_SHORT,,X,X,X,X,X,P,,Э,,,,,X,X,,,X,专,X,X,,P,X,,,מ,,,,
